Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,timestamp,Max_Pain
ABCAPITAL,2025-12-30,325.0,23.15,99200.0,0.2,675800.0,346.5,2025-12-26 09:52,22761
ABCAPITAL,2025-12-30,330.0,16.65,226300.0,0.25,1168700.0,346.5,2025-12-26 09:52,18774
ABCAPITAL,2025-12-30,335.0,13.1,235600.0,0.5,1339200.0,346.5,2025-12-26 09:52,15615
ABCAPITAL,2025-12-30,340.0,7.8,657200.0,1.4,1980900.0,346.5,2025-12-26 09:52,13138
ABCAPITAL,2025-12-30,345.0,4.75,2188600.0,3.1,1478700.0,346.5,2025-12-26 09:52,11974
ABCAPITAL,2025-12-30,350.0,2.55,2566800.0,5.9,1584100.0,346.5,2025-12-26 09:52,12989
ABCAPITAL,2025-12-30,355.0,1.35,1999500.0,10.0,886600.0,346.5,2025-12-26 09:52,15218
ABCAPITAL,2025-12-30,360.0,0.75,2687700.0,14.3,539400.0,346.5,2025-12-26 09:52,18554
ABCAPITAL,2025-12-30,365.0,0.45,2132800.0,17.95,523900.0,346.5,2025-12-26 09:52,23550
ABCAPITAL,2025-12-30,370.0,0.25,2647400.0,23.15,297600.0,346.5,2025-12-26 09:52,29600
ABCAPITAL,2025-12-30,375.0,0.2,2672200.0,27.85,89900.0,346.5,2025-12-26 09:52,37345
ABCAPITAL,2025-12-30,380.0,0.15,1664700.0,32.7,102300.0,346.5,2025-12-26 09:52,46896
ABCAPITAL,2025-12-30,385.0,0.1,709900.0,0.0,0.0,346.5,2025-12-26 09:52,57217
ABCAPITAL,2025-12-30,390.0,0.1,1140800.0,32.05,58900.0,346.5,2025-12-26 09:52,68211
ABCAPITAL,2025-12-30,395.0,0.05,189100.0,0.0,0.0,346.5,2025-12-26 09:52,79620
ABCAPITAL,2025-12-30,400.0,0.05,1212100.0,43.8,9300.0,346.5,2025-12-26 09:52,91302
ADANIENT,2025-12-30,1840.0,0.0,0.0,0.25,1236.0,2235.5,2025-12-26 09:52,311280
ADANIENT,2025-12-30,1880.0,0.0,0.0,0.55,10506.0,2235.5,2025-12-26 09:52,281264
ADANIENT,2025-12-30,1900.2,335.0,8652.0,0.4,98571.0,2235.5,2025-12-26 09:52,266126
ADANIENT,2025-12-30,1920.0,0.0,0.0,0.4,8034.0,2235.5,2025-12-26 09:52,251787
ADANIENT,2025-12-30,1938.95,0.0,0.0,1.0,66435.0,2235.5,2025-12-26 09:52,237805
ADANIENT,2025-12-30,1940.0,0.0,0.0,0.55,8343.0,2235.5,2025-12-26 09:52,237031
ADANIENT,2025-12-30,1960.0,0.0,0.0,0.65,31518.0,2235.5,2025-12-26 09:52,222423
ADANIENT,2025-12-30,1977.75,0.0,0.0,0.5,62109.0,2235.5,2025-12-26 09:52,209513
ADANIENT,2025-12-30,1980.0,0.0,0.0,0.0,0.0,2235.5,2025-12-26 09:52,207888
ADANIENT,2025-12-30,2000.0,228.3,4635.0,0.45,309927.0,2235.5,2025-12-26 09:52,193468
ADANIENT,2025-12-30,2016.55,0.0,0.0,0.5,52839.0,2235.5,2025-12-26 09:52,182148
ADANIENT,2025-12-30,2020.0,0.0,0.0,0.6,42024.0,2235.5,2025-12-26 09:52,179785
ADANIENT,2025-12-30,2035.9,0.0,0.0,0.6,32445.0,2235.5,2025-12-26 09:52,168970
ADANIENT,2025-12-30,2040.0,0.0,0.0,0.7,43569.0,2235.5,2025-12-26 09:52,166193
ADANIENT,2025-12-30,2055.3,0.0,0.0,0.75,73542.0,2235.5,2025-12-26 09:52,155901
ADANIENT,2025-12-30,2060.0,0.0,0.0,0.9,35844.0,2235.5,2025-12-26 09:52,152770
ADANIENT,2025-12-30,2074.7,0.0,0.0,1.0,31518.0,2235.5,2025-12-26 09:52,143042
ADANIENT,2025-12-30,2080.0,170.0,1236.0,1.15,69216.0,2235.5,2025-12-26 09:52,139550
ADANIENT,2025-12-30,2094.1,154.95,0.0,1.3,35535.0,2235.5,2025-12-26 09:52,130380
ADANIENT,2025-12-30,2100.0,152.0,44496.0,1.5,391503.0,2235.5,2025-12-26 09:52,126553
ADANIENT,2025-12-30,2113.5,329.5,309.0,2.35,39243.0,2235.5,2025-12-26 09:52,119015
ADANIENT,2025-12-30,2120.0,110.2,618.0,1.7,261414.0,2235.5,2025-12-26 09:52,115114
ADANIENT,2025-12-30,2132.85,101.55,12051.0,2.35,194670.0,2235.5,2025-12-26 09:52,107701
ADANIENT,2025-12-30,2140.0,103.7,10815.0,2.55,80649.0,2235.5,2025-12-26 09:52,103821
ADANIENT,2025-12-30,2152.25,0.0,0.0,3.1,56856.0,2235.5,2025-12-26 09:52,97247
ADANIENT,2025-12-30,2160.0,74.0,22557.0,3.6,57165.0,2235.5,2025-12-26 09:52,93056
ADANIENT,2025-12-30,2171.65,0.0,0.0,4.55,14523.0,2235.5,2025-12-26 09:52,87021
ADANIENT,2025-12-30,2180.0,65.45,39552.0,5.35,166551.0,2235.5,2025-12-26 09:52,82597
ADANIENT,2025-12-30,2191.05,0.0,0.0,6.95,44805.0,2235.5,2025-12-26 09:52,77148
ADANIENT,2025-12-30,2200.0,48.2,365856.0,8.25,486366.0,2235.5,2025-12-26 09:52,72607
ADANIENT,2025-12-30,2210.45,0.0,0.0,10.35,79104.0,2235.5,2025-12-26 09:52,69593
ADANIENT,2025-12-30,2220.0,34.05,80031.0,13.8,206721.0,2235.5,2025-12-26 09:52,65587
ADANIENT,2025-12-30,2229.8,27.65,73851.0,17.35,164388.0,2235.5,2025-12-26 09:52,61829
ADANIENT,2025-12-30,2240.0,22.4,318270.0,22.25,345771.0,2235.5,2025-12-26 09:52,58093
ADANIENT,2025-12-30,2249.2,18.4,70143.0,0.0,0.0,2235.5,2025-12-26 09:52,55351
ADANIENT,2025-12-30,2260.0,14.45,1907148.0,34.05,372345.0,2235.5,2025-12-26 09:52,52403
ADANIENT,2025-12-30,2268.6,13.15,88374.0,0.0,0.0,2235.5,2025-12-26 09:52,53401
ADANIENT,2025-12-30,2280.0,9.0,336810.0,49.6,163461.0,2235.5,2025-12-26 09:52,52968
ADANIENT,2025-12-30,2288.0,7.45,71070.0,0.0,0.0,2235.5,2025-12-26 09:52,52475
ADANIENT,2025-12-30,2300.0,5.7,2040327.0,66.2,755196.0,2235.5,2025-12-26 09:52,52636
ADANIENT,2025-12-30,2307.35,4.75,114021.0,83.1,54384.0,2235.5,2025-12-26 09:52,50921
ADANIENT,2025-12-30,2320.0,3.7,389031.0,84.35,117111.0,2235.5,2025-12-26 09:52,54386
ADANIENT,2025-12-30,2326.75,2.95,203322.0,90.4,200232.0,2235.5,2025-12-26 09:52,55945
ADANIENT,2025-12-30,2340.0,2.5,360603.0,100.35,151101.0,2235.5,2025-12-26 09:52,59447
ADANIENT,2025-12-30,2346.15,2.55,160371.0,96.05,84666.0,2235.5,2025-12-26 09:52,60773
ADANIENT,2025-12-30,2360.0,1.65,442797.0,119.65,156972.0,2235.5,2025-12-26 09:52,66538
ADANIENT,2025-12-30,2365.55,1.7,192198.0,133.95,147084.0,2235.5,2025-12-26 09:52,67686
ADANIENT,2025-12-30,2380.0,1.4,263577.0,127.3,60873.0,2235.5,2025-12-26 09:52,73926
ADANIENT,2025-12-30,2384.95,1.85,53457.0,147.25,7725.0,2235.5,2025-12-26 09:52,76150
ADANIENT,2025-12-30,2400.0,1.3,2099037.0,161.25,375435.0,2235.5,2025-12-26 09:52,85144
ADANIENT,2025-12-30,2404.3,1.7,71379.0,163.0,40788.0,2235.5,2025-12-26 09:52,83026
ADANIENT,2025-12-30,2420.0,1.05,103824.0,179.4,20703.0,2235.5,2025-12-26 09:52,95925
ADANIENT,2025-12-30,2423.7,1.4,212901.0,189.15,226497.0,2235.5,2025-12-26 09:52,98804
ADANIENT,2025-12-30,2440.0,0.95,276864.0,193.0,42024.0,2235.5,2025-12-26 09:52,109538
ADANIENT,2025-12-30,2443.1,0.95,30591.0,0.0,0.0,2235.5,2025-12-26 09:52,111703
ADANIENT,2025-12-30,2460.0,0.85,216918.0,213.0,63345.0,2235.5,2025-12-26 09:52,127837
ADANIENT,2025-12-30,2462.5,0.45,56856.0,230.8,27810.0,2235.5,2025-12-26 09:52,128963
ADANIENT,2025-12-30,2480.0,0.8,47586.0,225.5,6180.0,2235.5,2025-12-26 09:52,145666
ADANIENT,2025-12-30,2481.9,0.7,57474.0,211.7,41715.0,2235.5,2025-12-26 09:52,147423
ADANIENT,2025-12-30,2500.0,0.75,877560.0,259.5,235767.0,2235.5,2025-12-26 09:52,164758
ADANIENT,2025-12-30,2501.25,0.65,65508.0,160.0,7107.0,2235.5,2025-12-26 09:52,160103
ADANIENT,2025-12-30,2520.0,0.55,36153.0,271.3,16068.0,2235.5,2025-12-26 09:52,181085
ADANIENT,2025-12-30,2520.65,0.6,156663.0,277.7,63345.0,2235.5,2025-12-26 09:52,181386
ADANIENT,2025-12-30,2540.0,0.75,31827.0,0.0,0.0,2235.5,2025-12-26 09:52,201929
ADANIENT,2025-12-30,2540.05,0.6,61491.0,154.3,309.0,2235.5,2025-12-26 09:52,201989
ADANIENT,2025-12-30,2559.45,0.0,0.0,321.0,1854.0,2235.5,2025-12-26 09:52,224521
ADANIENT,2025-12-30,2560.0,0.5,89919.0,153.0,309.0,2235.5,2025-12-26 09:52,225100
ADANIENT,2025-12-30,2578.85,0.0,0.0,340.0,2472.0,2235.5,2025-12-26 09:52,247167
ADANIENT,2025-12-30,2598.2,0.2,26574.0,198.5,3399.0,2235.5,2025-12-26 09:52,269740
ADANIENT,2025-12-30,2600.0,0.75,217227.0,347.3,64272.0,2235.5,2025-12-26 09:52,271787
ADANIENT,2025-12-30,2617.6,0.5,106914.0,365.0,41406.0,2235.5,2025-12-26 09:52,290727
ADANIENT,2025-12-30,2620.0,0.0,0.0,266.6,1236.0,2235.5,2025-12-26 09:52,292142
ADANIENT,2025-12-30,2640.0,0.7,35844.0,400.0,618.0,2235.5,2025-12-26 09:52,316449
ADANIENT,2025-12-30,2660.0,0.0,0.0,225.25,309.0,2235.5,2025-12-26 09:52,340841
ADANIENT,2025-12-30,2680.0,0.65,29046.0,0.0,0.0,2235.5,2025-12-26 09:52,365248
ADANIENT,2025-12-30,2700.0,0.25,117420.0,455.0,9888.0,2235.5,2025-12-26 09:52,389722
ADANIENT,2025-12-30,2714.55,0.05,101970.0,460.0,186327.0,2235.5,2025-12-26 09:52,407264
