Stock,LTP,High,Low,timestamp
SHREECEM,26850.0,27360.0,26780.0,2026-01-09 05:19:05
SHRIRAMFIN,992.9,1002.55,981.1,2026-01-09 05:19:05
SIEMENS,3009.5,3152.5,2990.8,2026-01-09 05:19:05
SOLARINDS,13452.0,13739.0,13353.0,2026-01-09 05:19:05
SONACOMS,462.85,473.6,460.1,2026-01-09 05:19:05
SRF,3042.3,3097.4,3035.7,2026-01-09 05:19:05
SUNPHARMA,1760.7,1778.6,1757.7,2026-01-09 05:19:05
SUPREMEIND,3557.4,3633.7,3539.8,2026-01-09 05:19:05
SUZLON,50.93,53.41,50.65,2026-01-09 05:19:05
SWIGGY,352.85,363.9,351.35,2026-01-09 05:19:05
SYNGENE,632.9,659.25,630.75,2026-01-09 05:19:05
TATACONSUM,1197.4,1212.0,1193.0,2026-01-09 05:19:05
TATAELXSI,5716.5,5950.0,5645.5,2026-01-09 05:19:05
TATAPOWER,374.2,381.85,373.05,2026-01-09 05:19:05
TATASTEEL,180.12,185.87,179.55,2026-01-09 05:19:05
TATATECH,661.65,690.0,660.4,2026-01-09 05:19:05
TCS,3203.9,3286.9,3182.0,2026-01-09 05:19:05
TECHM,1577.9,1632.8,1574.5,2026-01-09 05:19:05
TIINDIA,2507.5,2548.5,2491.3,2026-01-09 05:19:05
TITAN,4249.0,4303.2,4239.0,2026-01-09 05:19:05
TMPV,359.45,365.35,358.0,2026-01-09 05:19:05
TORNTPHARM,4026.4,4080.0,4015.7,2026-01-09 05:19:05
TORNTPOWER,1359.7,1408.7,1351.0,2026-01-09 05:19:05
TRENT,3990.4,4094.5,3980.0,2026-01-09 05:19:05
TVSMOTOR,3801.7,3854.0,3791.9,2026-01-09 05:19:05
ULTRACEMCO,12064.0,12188.0,12034.0,2026-01-09 05:19:05
UNIONBANK,161.46,166.92,160.25,2026-01-09 05:19:05
UNITDSPR,1350.2,1379.0,1343.5,2026-01-09 05:19:05
UNOMINDA,1270.0,1318.3,1261.0,2026-01-09 05:19:05
UPL,794.5,810.8,788.5,2026-01-09 05:19:05
VBL,500.9,511.65,497.8,2026-01-09 05:19:05
VEDL,603.5,619.1,595.0,2026-01-09 05:19:05
VOLTAS,1469.1,1512.0,1465.1,2026-01-09 05:19:05
WAAREEENER,2612.3,2708.7,2603.8,2026-01-09 05:19:05
WIPRO,262.2,270.9,261.35,2026-01-09 05:19:05
YESBANK,22.72,23.5,22.62,2026-01-09 05:19:05
ZYDUSLIFE,907.55,930.0,905.55,2026-01-09 05:19:05
