Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp,Stock_LTP,Max_Pain
ABCAPITAL,2025-12-30,400.0,0.05,1267900.0,43.8,9300.0,2025-12-25 01:55,347.4,91656
ADANIENT,2025-12-30,1840.0,0.0,0.0,0.25,1854.0,2025-12-25 01:55,2222.7,313390
ADANIENT,2025-12-30,1880.0,0.0,0.0,0.55,10815.0,2025-12-25 01:55,2222.7,283177
ADANIENT,2025-12-30,1900.2,335.0,8961.0,0.6,98571.0,2025-12-25 01:55,2222.7,267941
ADANIENT,2025-12-30,1920.0,0.0,0.0,1.1,8343.0,2025-12-25 01:55,2222.7,253514
ADANIENT,2025-12-30,1938.95,0.0,0.0,1.0,73542.0,2025-12-25 01:55,2222.7,239440
ADANIENT,2025-12-30,1940.0,0.0,0.0,0.55,8343.0,2025-12-25 01:55,2222.7,238661
ADANIENT,2025-12-30,1960.0,0.0,0.0,0.6,31827.0,2025-12-25 01:55,2222.7,223971
ADANIENT,2025-12-30,1977.75,0.0,0.0,0.6,62418.0,2025-12-25 01:55,2222.7,210989
ADANIENT,2025-12-30,1980.0,0.0,0.0,0.0,0.0,2025-12-25 01:55,2222.7,209354
ADANIENT,2025-12-30,2000.0,228.3,4635.0,0.85,338973.0,2025-12-25 01:55,2222.7,194853
ADANIENT,2025-12-30,2016.55,0.0,0.0,1.0,55620.0,2025-12-25 01:55,2222.7,183499
ADANIENT,2025-12-30,2020.0,0.0,0.0,1.1,44496.0,2025-12-25 01:55,2222.7,181130
ADANIENT,2025-12-30,2035.9,0.0,0.0,1.15,35844.0,2025-12-25 01:55,2222.7,170303
ADANIENT,2025-12-30,2040.0,0.0,0.0,1.3,44496.0,2025-12-25 01:55,2222.7,167522
ADANIENT,2025-12-30,2055.3,0.0,0.0,1.45,74778.0,2025-12-25 01:55,2222.7,157225
ADANIENT,2025-12-30,2060.0,0.0,0.0,1.55,38625.0,2025-12-25 01:55,2222.7,154088
ADANIENT,2025-12-30,2074.7,0.0,0.0,2.55,31827.0,2025-12-25 01:55,2222.7,144361
ADANIENT,2025-12-30,2080.0,170.0,1236.0,2.0,67671.0,2025-12-25 01:55,2222.7,140865
ADANIENT,2025-12-30,2094.1,154.95,0.0,2.2,34608.0,2025-12-25 01:55,2222.7,131691
ADANIENT,2025-12-30,2100.0,129.6,46041.0,2.65,393666.0,2025-12-25 01:55,2222.7,127861
ADANIENT,2025-12-30,2113.5,329.5,309.0,2.35,39552.0,2025-12-25 01:55,2222.7,120202
ADANIENT,2025-12-30,2120.0,110.2,618.0,3.35,263577.0,2025-12-25 01:55,2222.7,116305
ADANIENT,2025-12-30,2132.85,99.05,12051.0,4.45,198996.0,2025-12-25 01:55,2222.7,108855
ADANIENT,2025-12-30,2140.0,92.25,11124.0,4.75,80958.0,2025-12-25 01:55,2222.7,104937
ADANIENT,2025-12-30,2152.25,0.0,0.0,6.0,68598.0,2025-12-25 01:55,2222.7,98349
ADANIENT,2025-12-30,2160.0,70.7,22557.0,6.85,67053.0,2025-12-25 01:55,2222.7,94152
ADANIENT,2025-12-30,2171.65,0.0,0.0,8.65,12669.0,2025-12-25 01:55,2222.7,88123
ADANIENT,2025-12-30,2180.0,57.1,40479.0,10.2,157899.0,2025-12-25 01:55,2222.7,83720
ADANIENT,2025-12-30,2191.05,0.0,0.0,13.35,46350.0,2025-12-25 01:55,2222.7,78198
ADANIENT,2025-12-30,2200.0,39.05,383160.0,15.7,470916.0,2025-12-25 01:55,2222.7,73647
ADANIENT,2025-12-30,2210.45,0.0,0.0,19.55,77250.0,2025-12-25 01:55,2222.7,70056
ADANIENT,2025-12-30,2220.0,27.05,81885.0,23.5,180765.0,2025-12-25 01:55,2222.7,66005
ADANIENT,2025-12-30,2229.8,22.3,61182.0,28.7,157590.0,2025-12-25 01:55,2222.7,62057
ADANIENT,2025-12-30,2240.0,18.25,311472.0,34.9,315798.0,2025-12-25 01:55,2222.7,58067
ADANIENT,2025-12-30,2249.2,15.25,58710.0,0.0,0.0,2025-12-25 01:55,2222.7,54796
ADANIENT,2025-12-30,2260.0,12.0,2095947.0,48.55,387177.0,2025-12-25 01:55,2222.7,51736
ADANIENT,2025-12-30,2268.6,10.35,91155.0,0.0,0.0,2025-12-25 01:55,2222.7,51999
ADANIENT,2025-12-30,2280.0,8.3,330012.0,64.5,169641.0,2025-12-25 01:55,2222.7,51703
ADANIENT,2025-12-30,2288.0,7.1,78795.0,0.0,0.0,2025-12-25 01:55,2222.7,51009
ADANIENT,2025-12-30,2300.0,5.9,2072772.0,83.0,757668.0,2025-12-25 01:55,2222.7,51348
ADANIENT,2025-12-30,2307.35,5.05,116493.0,87.5,54384.0,2025-12-25 01:55,2222.7,48537
ADANIENT,2025-12-30,2320.0,4.2,383160.0,99.1,119892.0,2025-12-25 01:55,2222.7,52215
ADANIENT,2025-12-30,2326.75,3.7,185091.0,103.4,203940.0,2025-12-25 01:55,2222.7,53713
ADANIENT,2025-12-30,2340.0,2.75,352878.0,112.9,152028.0,2025-12-25 01:55,2222.7,57145
ADANIENT,2025-12-30,2346.15,2.7,162843.0,96.05,84666.0,2025-12-25 01:55,2222.7,58376
ADANIENT,2025-12-30,2360.0,2.1,447432.0,116.75,160680.0,2025-12-25 01:55,2222.7,64369
ADANIENT,2025-12-30,2365.55,2.05,155736.0,140.05,147702.0,2025-12-25 01:55,2222.7,65634
ADANIENT,2025-12-30,2380.0,1.95,268212.0,127.3,61182.0,2025-12-25 01:55,2222.7,71969
ADANIENT,2025-12-30,2384.95,1.85,53457.0,147.25,7725.0,2025-12-25 01:55,2222.7,74273
ADANIENT,2025-12-30,2400.0,1.7,2069991.0,175.6,378834.0,2025-12-25 01:55,2222.7,83477
ADANIENT,2025-12-30,2404.3,1.5,71688.0,176.4,41715.0,2025-12-25 01:55,2222.7,80889
ADANIENT,2025-12-30,2420.0,1.35,134106.0,147.75,21012.0,2025-12-25 01:55,2222.7,93896
