Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp,Max_Pain
ADANIENT,2025-12-30,2132.85,119.15,12669.0,4.45,201777.0,2025-12-23 21:07,109839
ADANIENT,2025-12-30,2140.0,115.35,12051.0,4.7,84357.0,2025-12-23 21:07,105578
ADANIENT,2025-12-30,2152.25,0.0,0.0,5.35,68289.0,2025-12-23 21:07,98390
ADANIENT,2025-12-30,2160.0,100.0,23175.0,6.0,84975.0,2025-12-23 21:07,93796
ADANIENT,2025-12-30,2171.65,0.0,0.0,7.25,16377.0,2025-12-23 21:07,87252
ADANIENT,2025-12-30,2180.0,79.25,43260.0,8.0,156972.0,2025-12-23 21:07,82434
ADANIENT,2025-12-30,2191.05,0.0,0.0,9.8,51294.0,2025-12-23 21:07,76512
ADANIENT,2025-12-30,2200.0,62.05,425493.0,11.3,483276.0,2025-12-23 21:07,71535
ADANIENT,2025-12-30,2210.45,0.0,0.0,12.6,81576.0,2025-12-23 21:07,68826
ADANIENT,2025-12-30,2220.0,47.9,148320.0,15.65,226806.0,2025-12-23 21:07,64413
ADANIENT,2025-12-30,2229.8,40.45,94245.0,19.3,197142.0,2025-12-23 21:07,60712
ADANIENT,2025-12-30,2240.0,35.2,262650.0,23.15,336192.0,2025-12-23 21:07,56788
ADANIENT,2025-12-30,2249.2,30.0,58401.0,0.0,0.0,2025-12-23 21:07,53945
ADANIENT,2025-12-30,2260.0,25.05,1824027.0,33.2,463500.0,2025-12-23 21:07,50675
ADANIENT,2025-12-30,2268.6,20.9,81267.0,0.0,0.0,2025-12-23 21:07,52929
ADANIENT,2025-12-30,2280.0,17.1,375435.0,45.1,197142.0,2025-12-23 21:07,52162
ADANIENT,2025-12-30,2288.0,14.15,77868.0,0.0,0.0,2025-12-23 21:07,51715
ADANIENT,2025-12-30,2300.0,11.5,2024259.0,60.0,910623.0,2025-12-23 21:07,51620
ADANIENT,2025-12-30,2307.35,9.65,129780.0,65.0,59328.0,2025-12-23 21:07,50516
ADANIENT,2025-12-30,2320.0,8.1,376053.0,75.6,120201.0,2025-12-23 21:07,53991
ADANIENT,2025-12-30,2326.75,7.25,220317.0,84.0,206721.0,2025-12-23 21:07,55715
ADANIENT,2025-12-30,2340.0,5.85,379143.0,95.85,158826.0,2025-12-23 21:07,59274
ADANIENT,2025-12-30,2346.15,5.35,184782.0,96.05,84666.0,2025-12-23 21:07,60688
ADANIENT,2025-12-30,2360.0,4.3,424875.0,113.9,161298.0,2025-12-23 21:07,66460
ADANIENT,2025-12-30,2365.55,4.05,166551.0,115.0,151410.0,2025-12-23 21:07,67730
ADANIENT,2025-12-30,2380.0,3.45,259251.0,126.0,62109.0,2025-12-23 21:07,74131
ADANIENT,2025-12-30,2384.95,3.2,59019.0,147.25,7725.0,2025-12-23 21:07,76363
ADANIENT,2025-12-30,2400.0,2.95,1922907.0,152.0,419004.0,2025-12-23 21:07,85261
ADANIENT,2025-12-30,2404.3,2.75,84048.0,133.7,42642.0,2025-12-23 21:07,83036
ADANIENT,2025-12-30,2420.0,2.3,170568.0,147.75,21012.0,2025-12-23 21:07,95747
ADANIENT,2025-12-30,2423.7,2.25,242874.0,175.55,256161.0,2025-12-23 21:07,98671
ADANIENT,2025-12-30,2440.0,2.0,291078.0,182.0,44187.0,2025-12-23 21:07,109119
ADANIENT,2025-12-30,2443.1,2.0,67362.0,0.0,0.0,2025-12-23 21:07,111308
ADANIENT,2025-12-30,2460.0,1.45,247200.0,204.05,67980.0,2025-12-23 21:07,127440
ADANIENT,2025-12-30,2462.5,1.65,74160.0,227.1,31518.0,2025-12-23 21:07,128552
ADANIENT,2025-12-30,2480.0,1.4,87138.0,225.5,6180.0,2025-12-23 21:07,145276
ADANIENT,2025-12-30,2481.9,2.6,85593.0,211.7,41715.0,2025-12-23 21:07,147059
ADANIENT,2025-12-30,2500.0,1.2,1045038.0,248.4,265431.0,2025-12-23 21:07,164622
ADANIENT,2025-12-30,2501.25,1.15,59328.0,160.0,7107.0,2025-12-23 21:07,159590
ADANIENT,2025-12-30,2520.0,1.0,44187.0,271.3,16068.0,2025-12-23 21:07,181151
ADANIENT,2025-12-30,2520.65,1.05,193743.0,253.0,64272.0,2025-12-23 21:07,181474
ADANIENT,2025-12-30,2540.0,1.05,33063.0,0.0,0.0,2025-12-23 21:07,202845
ADANIENT,2025-12-30,2540.05,1.0,68289.0,154.3,309.0,2025-12-23 21:07,202908
ADANIENT,2025-12-30,2559.45,0.0,0.0,321.0,1854.0,2025-12-23 21:07,226144
ADANIENT,2025-12-30,2560.0,0.85,100425.0,153.0,309.0,2025-12-23 21:07,226743
ADANIENT,2025-12-30,2578.85,0.0,0.0,340.0,2472.0,2025-12-23 21:07,249515
ADANIENT,2025-12-30,2598.2,0.45,26574.0,198.5,3399.0,2025-12-23 21:07,272807
ADANIENT,2025-12-30,2600.0,0.7,259251.0,328.0,65508.0,2025-12-23 21:07,274921
ADANIENT,2025-12-30,2617.6,0.7,125454.0,346.0,41406.0,2025-12-23 21:07,294677
ADANIENT,2025-12-30,2620.0,0.0,0.0,266.6,1236.0,2025-12-23 21:07,296278
ADANIENT,2025-12-30,2640.0,0.7,38007.0,350.0,618.0,2025-12-23 21:07,321453
ADANIENT,2025-12-30,2660.0,0.0,0.0,225.25,309.0,2025-12-23 21:07,346719
ADANIENT,2025-12-30,2680.0,0.65,29355.0,0.0,0.0,2025-12-23 21:07,371997
ADANIENT,2025-12-30,2700.0,0.5,129162.0,338.5,11433.0,2025-12-23 21:07,397343
ADANIENT,2025-12-30,2714.55,0.2,104751.0,492.9,186327.0,2025-12-23 21:07,415605
ADANIENT,2025-12-30,2720.0,0.0,0.0,283.55,2163.0,2025-12-23 21:07,413565
ADANIENT,2025-12-30,2733.95,0.0,0.0,286.2,927.0,2025-12-23 21:07,431786
