time,stock,atm_diff
10:04,BANKBARODA,
10:04,BANKINDIA,
10:04,BDL,
10:04,BEL,
10:04,BHARATFORG,
10:04,BHARTIARTL,
10:04,BHEL,
10:04,BIOCON,
10:04,BLUESTARCO,
10:04,BOSCHLTD,
10:04,BPCL,
10:04,BRITANNIA,
10:04,BSE,
10:04,CAMS,
10:04,CANBK,
10:04,CDSL,
10:04,CGPOWER,
10:04,CHOLAFIN,
10:04,CIPLA,
10:04,COALINDIA,
10:04,COFORGE,
10:04,COLPAL,
10:04,CONCOR,
10:04,CROMPTON,
10:04,CUMMINSIND,
10:04,DABUR,
10:04,DALBHARAT,
10:04,DELHIVERY,
10:04,DIVISLAB,
10:04,DIXON,
10:04,DLF,
10:04,DMART,
10:04,DRREDDY,
10:04,EICHERMOT,
10:04,ETERNAL,
10:04,EXIDEIND,
10:04,FEDERALBNK,
10:04,FORTIS,
10:04,GAIL,
10:04,GLENMARK,
10:04,GMRAIRPORT,
10:04,GODREJCP,
10:04,GODREJPROP,
10:04,GRASIM,
10:04,HAL,
10:04,HAVELLS,
10:04,HCLTECH,
10:04,HDFCAMC,
10:04,HDFCBANK,
10:04,HDFCLIFE,
10:04,HEROMOTOCO,
10:04,HINDALCO,
10:04,HINDPETRO,
10:04,HINDUNILVR,
10:04,HINDZINC,
10:04,HUDCO,
10:04,ICICIBANK,
10:04,ICICIGI,
10:04,ICICIPRULI,
10:04,IDEA,
10:04,IDFCFIRSTB,
10:04,IEX,
10:04,IIFL,
10:04,INDHOTEL,
10:04,INDIANB,
10:04,INDIGO,
10:04,INDUSINDBK,
10:04,INDUSTOWER,
10:04,INFY,
10:04,INOXWIND,
10:04,IOC,
10:04,IRCTC,
10:04,IREDA,
10:04,IRFC,
10:04,ITC,
10:04,JINDALSTEL,
10:04,JIOFIN,
10:04,JSWENERGY,
10:04,JSWSTEEL,
10:04,JUBLFOOD,
10:04,KALYANKJIL,
10:04,KAYNES,
10:04,KEI,
10:04,KFINTECH,
10:04,KOTAKBANK,
10:04,KPITTECH,
10:04,LAURUSLABS,
10:04,LICHSGFIN,
10:04,LICI,
10:04,LODHA,
10:04,LT,
10:04,LTF,
10:04,LTIM,
10:04,LUPIN,
10:04,M&M,
10:04,MANAPPURAM,
10:04,MANKIND,
10:04,MARICO,
10:04,MARUTI,
10:04,MAXHEALTH,
10:04,MAZDOCK,
10:04,MCX,
10:04,MFSL,
10:04,MOTHERSON,
10:04,MPHASIS,
10:04,MUTHOOTFIN,
10:04,NATIONALUM,
10:04,NAUKRI,
10:04,NBCC,
10:04,NESTLEIND,
10:04,NHPC,
10:04,NMDC,
10:04,NTPC,
10:04,NUVAMA,
10:04,NYKAA,
10:04,OBEROIRLTY,
10:04,OFSS,
10:04,OIL,
10:04,ONGC,
10:04,PAGEIND,
10:04,PATANJALI,
10:04,PAYTM,
10:04,PERSISTENT,
10:04,PETRONET,
10:04,PFC,
10:04,PGEL,
10:04,PHOENIXLTD,
10:04,PIDILITIND,
10:04,PIIND,
10:04,PNB,
10:04,PNBHOUSING,
10:04,POLICYBZR,
10:04,POLYCAB,
10:04,POWERGRID,
10:04,POWERINDIA,
10:04,PPLPHARMA,
10:04,PREMIERENE,
10:04,PRESTIGE,
10:04,RBLBANK,
10:04,RECLTD,
10:04,RELIANCE,
10:04,RVNL,
10:04,SAIL,
10:04,SAMMAANCAP,
10:04,SBICARD,
10:04,SBILIFE,
10:04,SBIN,
10:04,SHREECEM,
10:04,SHRIRAMFIN,
10:04,SIEMENS,
10:04,SOLARINDS,
10:04,SONACOMS,
10:04,SRF,
10:04,SUNPHARMA,
10:04,SUPREMEIND,
10:04,SUZLON,
10:04,SWIGGY,
10:04,SYNGENE,
10:04,TATACONSUM,
10:04,TATAELXSI,
10:04,TATAPOWER,
10:04,TATASTEEL,
10:04,TATATECH,
10:04,TCS,
10:04,TECHM,
10:04,TIINDIA,
10:04,TITAN,
10:04,TORNTPHARM,
10:04,TORNTPOWER,
10:04,TRENT,
10:04,TVSMOTOR,
10:04,ULTRACEMCO,
10:04,UNIONBANK,
10:04,UNITDSPR,
10:04,UNOMINDA,
10:04,UPL,
10:04,VBL,
10:04,VEDL,
10:04,VOLTAS,
10:04,WAAREEENER,
10:04,WIPRO,
10:04,YESBANK,
10:04,ZYDUSLIFE,
10:23,360ONE,
10:23,ABB,
10:23,ABCAPITAL,
10:23,ADANIENSOL,
10:23,ADANIENT,
10:23,ADANIGREEN,
10:23,ADANIPORTS,
10:23,ALKEM,
10:23,AMBER,
10:23,AMBUJACEM,
10:23,ANGELONE,
10:23,APLAPOLLO,
10:23,APOLLOHOSP,
10:23,ASHOKLEY,
10:23,ASIANPAINT,
10:23,ASTRAL,
10:23,AUBANK,
10:23,AUROPHARMA,
10:23,AXISBANK,
10:23,BAJAJ-AUTO,
10:23,BAJAJFINSV,
10:23,BAJAJHLDNG,
10:23,BAJFINANCE,
10:23,BANDHANBNK,
10:23,BANKBARODA,
10:23,BANKINDIA,
10:23,BDL,
10:23,BEL,
10:23,BHARATFORG,
10:23,BHARTIARTL,
10:23,BHEL,
10:23,BIOCON,
10:23,BLUESTARCO,
10:23,BOSCHLTD,
10:23,BPCL,
10:23,BRITANNIA,
10:23,BSE,
10:23,CAMS,
10:23,CANBK,
10:23,CDSL,
10:23,CGPOWER,
10:23,CHOLAFIN,
10:23,CIPLA,
10:23,COALINDIA,
10:23,COFORGE,
10:23,COLPAL,
10:23,CONCOR,
10:23,CROMPTON,
10:23,CUMMINSIND,
10:23,DABUR,
10:23,DALBHARAT,
10:23,DELHIVERY,
10:23,DIVISLAB,
10:23,DIXON,
10:23,DLF,
10:23,DMART,
10:23,DRREDDY,
10:23,EICHERMOT,
10:23,ETERNAL,
10:23,EXIDEIND,
10:23,FEDERALBNK,
10:23,FORTIS,
10:23,GAIL,
10:23,GLENMARK,
10:23,GMRAIRPORT,
10:23,GODREJCP,
10:23,GODREJPROP,
10:23,GRASIM,
10:23,HAL,
10:23,HAVELLS,
10:23,HCLTECH,
10:23,HDFCAMC,
10:23,HDFCBANK,
10:23,HDFCLIFE,
10:23,HEROMOTOCO,
10:23,HINDALCO,
10:23,HINDPETRO,
10:23,HINDUNILVR,
10:23,HINDZINC,
10:23,HUDCO,
10:23,ICICIBANK,
10:23,ICICIGI,
10:23,ICICIPRULI,
10:23,IDEA,
10:23,IDFCFIRSTB,
10:23,IEX,
10:23,IIFL,
10:23,INDHOTEL,
10:23,INDIANB,
10:23,INDIGO,
10:23,INDUSINDBK,
10:23,INDUSTOWER,
10:23,INFY,
10:23,INOXWIND,
10:23,IOC,
10:23,IRCTC,
10:23,IREDA,
10:23,IRFC,
10:23,ITC,
10:23,JINDALSTEL,
10:23,JIOFIN,
10:23,JSWENERGY,
10:23,JSWSTEEL,
10:23,JUBLFOOD,
10:23,KALYANKJIL,
10:23,KAYNES,
10:23,KEI,
10:23,KFINTECH,
10:23,KOTAKBANK,
10:23,KPITTECH,
10:23,LAURUSLABS,
